,x1,Product List,Random Picker,x2,Sex List,Random Picker,x3,Random Age Generator,x4,Nationality List,Random Picker,x5,Region List,Random Picker,x6,Branches List,Random Picker,x7,Product List,Cost,Mapping to the product from D,x8,Month,Random Picker,x9,Level of Satisfaction,x10,Review Length (Word Count),x11,Number of Workers to Hire List,Mapping to Branch,x12
253,9161052E,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,42,0 0 0 1 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,54,0 1,,10,0 0 1
254,FD48A958,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,28,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,154,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,71,0 1,,16,0 0 1
255,B717BE2B,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,63,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,3,0 0 1 0 0,92,0 1,,16,0 0 1
256,060FE104,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,36,0 0 1 0 0,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,1,1 0 0 0 0,100,0 1,,12,0 0 1
257,AA518560,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,15,0 1 0 0 0,,Other,0 0 0 0 0 1,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,154,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,1,1 0 0 0 0,7,1 0,,12,0 0 1
258,0D82662B,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,54,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,1500,0 0 0 1,,November,0 0 0 0 0 0 0 0 0 0 1 0,2,0 1 0 0 0,35,1 0,,16,0 0 1
259,A3BB681D,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,56,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,154,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,4,0 0 0 1 0,82,0 1,,12,0 0 1
260,E7510562,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,37,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,260,1 0 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,51,0 1,,16,0 0 1
261,842A10A9,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,53,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,160,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,2,0 1 0 0 0,65,0 1,,12,0 0 1
262,6D26705B,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,84,0 0 0 0 1,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,1500,0 0 0 1,,December,0 0 0 0 0 0 0 0 0 0 0 1,2,0 1 0 0 0,65,0 1,,12,0 0 1
263,7A3622F0,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,79,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,154,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,69,0 1,,16,0 0 1
264,08E65758,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,33,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,260,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,4,0 0 0 1 0,2,1 0,,10,0 0 1
265,4AA35CEB,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,75,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,4,0 0 0 1 0,13,1 0,,10,0 0 1
266,87C18236,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,51,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,260,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,2,0 1 0 0 0,49,1 0,,12,0 0 1
267,22128081,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,52,0 0 0 1 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,1500,0 0 0 1,,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,6,1 0,,16,0 0 1
268,40C8894B,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,81,0 0 0 0 1,,American,0 1 0 0 0 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,1,1 0 0 0 0,15,1 0,,12,0 0 1
269,6FFA47C0,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,30,0 0 1 0 0,,Other,0 0 0 0 0 1,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,65,0 1,,10,0 0 1
270,681D18B8,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,69,0 0 0 0 1,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,3,0 0 1 0 0,7,1 0,,12,0 0 1
271,97E3EB35,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,53,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,1500,0 0 0 1,,September,0 0 0 0 0 0 0 0 1 0 0 0,2,0 1 0 0 0,48,1 0,,16,0 0 1
272,FF7BD9BC,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,63,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,260,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,5,0 0 0 0 1,99,0 1,,12,0 0 1
273,7AABFA8E,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,55,0 0 0 1 0,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,5,0 0 0 0 1,96,0 1,,12,0 0 1
274,23D76C6D,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,26,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,260,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,3,0 0 1 0 0,5,1 0,,16,0 0 1
275,2E50905A,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,86,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,220,1 0 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,82,0 1,,16,0 0 1
276,105F14A7,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,13,0 1 0 0 0,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,July,0 0 0 0 0 0 1 0 0 0 0 0,1,1 0 0 0 0,10,1 0,,10,0 0 1
277,2BE21ECB,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,62,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,180,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,3,0 0 1 0 0,70,0 1,,10,0 0 1
278,87D1F9D2,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,34,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,154,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,2,0 1 0 0 0,77,0 1,,12,0 0 1
279,C8BC5E80,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,74,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,60,0 1,,10,0 0 1
280,07AA24EA,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,77,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,160,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,3,0 0 1 0 0,20,1 0,,12,0 0 1
281,BE8122A6,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,11,1 0 0 0 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,260,1 0 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,2,0 1 0 0 0,96,0 1,,12,0 0 1
282,33B89980,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,39,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,154,1 0 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,2,0 1 0 0 0,83,0 1,,12,0 0 1
283,9CA71154,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,29,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,38,1 0,,12,0 0 1
284,EE7E33B6,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,63,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,260,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,2,0 1 0 0 0,8,1 0,,16,0 0 1
285,4B0A8D46,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,84,0 0 0 0 1,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,5,0 0 0 0 1,92,0 1,,12,0 0 1
286,1923295A,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,43,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,2,0 1 0 0 0,80,0 1,,12,0 0 1
287,D70F4CCA,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,70,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,900,0 0 1 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,70,0 1,,12,0 0 1
288,A7A9592E,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,70,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,160,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,5,0 0 0 0 1,20,1 0,,12,0 0 1
289,F0C564D9,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,33,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,160,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,3,0 0 1 0 0,59,0 1,,12,0 0 1
290,A113C46A,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,28,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,180,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,4,0 0 0 1 0,24,1 0,,10,0 0 1
291,1B6CCC96,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,87,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,260,1 0 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,4,0 0 0 1 0,87,0 1,,12,0 0 1
292,79FFDD43,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,90,0 0 0 0 1,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,260,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,5,0 0 0 0 1,93,0 1,,16,0 0 1
293,40DEA02D,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,31,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,900,0 0 1 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,51,0 1,,12,0 0 1
294,90D38B4B,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,83,0 0 0 0 1,,Other,0 0 0 0 0 1,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,5,0 0 0 0 1,32,1 0,,12,0 0 1
295,32139DF8,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,15,0 1 0 0 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,900,0 0 1 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,4,0 0 0 1 0,68,0 1,,16,0 0 1
296,276D0845,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,68,0 0 0 0 1,,Other,0 0 0 0 0 1,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,260,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,1,1 0 0 0 0,18,1 0,,12,0 0 1
297,8C73AD9A,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,26,0 0 1 0 0,,Other,0 0 0 0 0 1,,Visayas,0 0 1 0,,Branch 1,1 0 0 0,,,260,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,2,0 1 0 0 0,91,0 1,,16,0 0 1
298,256FFDE0,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,63,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,900,0 0 1 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,2,0 1 0 0 0,21,1 0,,12,0 0 1
299,64126C93,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,65,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,February,0 1 0 0 0 0 0 0 0 0 0 0,2,0 1 0 0 0,40,1 0,,12,0 0 1
300,FA1D82C4,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,71,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,October,0 0 0 0 0 0 0 0 0 1 0 0,2,0 1 0 0 0,28,1 0,,12,0 0 1
301,22B90709,,Brown Belt,0 0 0 0 0 0 1 0,,Female,0 1,34,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,220,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,1,1 0 0 0 0,47,1 0,,12,0 0 1
302,C35AE1CA,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,31,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,154,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,44,1 0,,10,0 0 1
303,F2DDE177,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,82,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,160,1 0 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,5,0 0 0 0 1,85,0 1,,12,0 0 1
304,3B6546D2,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,34,0 0 1 0 0,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,180,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,4,0 0 0 1 0,37,1 0,,12,0 0 1
305,40AED5F3,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,74,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,600,0 1 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,2,0 1 0 0 0,3,1 0,,12,0 0 1
306,05EEBD51,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,81,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,160,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,28,1 0,,12,0 0 1
307,D25B0B49,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,25,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,220,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,3,0 0 1 0 0,21,1 0,,16,0 0 1
308,9A431FCF,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,21,0 0 1 0 0,,Other,0 0 0 0 0 1,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,260,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,93,0 1,,12,0 0 1
309,7015A74D,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,48,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,July,0 0 0 0 0 0 1 0 0 0 0 0,1,1 0 0 0 0,47,1 0,,12,0 0 1
310,F0D9DDAB,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,21,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,160,1 0 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,3,0 0 1 0 0,33,1 0,,12,0 0 1
311,4C1ADFB2,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,85,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,June,0 0 0 0 0 1 0 0 0 0 0 0,1,1 0 0 0 0,40,1 0,,12,0 0 1
312,21A3BB40,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,71,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,160,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,3,0 0 1 0 0,56,0 1,,12,0 0 1
313,5795322E,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,42,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,260,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,19,1 0,,10,0 0 1
314,83B1F0BB,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,60,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,September,0 0 0 0 0 0 0 0 1 0 0 0,2,0 1 0 0 0,59,0 1,,10,0 0 1
315,7AD8C34F,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,69,0 0 0 0 1,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,1,1 0 0 0 0,73,0 1,,12,0 0 1
316,80C64997,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,86,0 0 0 0 1,,Korean,0 0 0 1 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,900,0 0 1 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,5,0 0 0 0 1,44,1 0,,12,0 0 1
317,8A472A0F,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,59,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,260,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,3,0 0 1 0 0,81,0 1,,12,0 0 1
318,F6322D05,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,56,0 0 0 1 0,,Other,0 0 0 0 0 1,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,3,0 0 1 0 0,18,1 0,,12,0 0 1
319,9D8E29C6,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,64,0 0 0 0 1,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,900,0 0 1 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,1,1 0 0 0 0,87,0 1,,12,0 0 1
320,9264AE10,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,60,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,600,0 1 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,5,0 0 0 0 1,52,0 1,,12,0 0 1
321,B918243A,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,60,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,4,0 0 0 1 0,42,1 0,,12,0 0 1
322,71E60B15,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,13,0 1 0 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,154,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,1,1 0 0 0 0,29,1 0,,12,0 0 1
323,19AD3FAF,,Brown Belt,0 0 0 0 0 0 1 0,,Female,0 1,50,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,5,0 0 0 0 1,44,1 0,,12,0 0 1
324,4181401D,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,89,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,4,0 0 0 1 0,83,0 1,,10,0 0 1
325,C4B08C1E,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,45,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 1,1 0 0 0,,,900,0 0 1 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,70,0 1,,16,0 0 1
326,34428D3B,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,36,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,260,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,2,0 1 0 0 0,83,0 1,,10,0 0 1
327,A454A849,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,90,0 0 0 0 1,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,260,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,4,0 0 0 1 0,8,1 0,,12,0 0 1
328,24FC1A4D,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,46,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,260,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,10,1 0,,16,0 0 1
329,92D7A8CC,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,35,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,160,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,25,1 0,,10,0 0 1
330,A2701769,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,64,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,220,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,3,0 0 1 0 0,44,1 0,,16,0 0 1
331,728E4A97,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,67,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,260,1 0 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,1,1 0 0 0 0,28,1 0,,16,0 0 1
332,6D51FD77,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,43,0 0 0 1 0,,Other,0 0 0 0 0 1,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,15,1 0,,10,0 0 1
333,3682AF9A,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,78,0 0 0 0 1,,Korean,0 0 0 1 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,260,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,2,0 1 0 0 0,22,1 0,,16,0 0 1
334,FE46D93C,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,82,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,600,0 1 0 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,5,0 0 0 0 1,15,1 0,,12,0 0 1
335,80EB2C54,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,58,0 0 0 1 0,,Other,0 0 0 0 0 1,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,900,0 0 1 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,4,0 0 0 1 0,78,0 1,,16,0 0 1
