Year,Host_City,Sport,Discipline,Event,Event_gender,Surname,Given_Name,Gender,Country,Medal
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"+ 110kg, total (super heavyweight)",M,Nerlinger,Manfred,Men,West Germany,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,100m butterfly,M,Gross,Michael,Men,West Germany,Gold
1/1/1984,Los Angeles,Fencing,Fencing,foil individual,W,Vaccaroni,Dorina,Women,Italy,Bronze
1/1/1984,Los Angeles,Equestrian,Dressage,individual,,Jensen-tornblad,Anne Grethe,Women,Denmark,Silver
1/1/1984,Los Angeles,Boxing,Boxing,- 48kg (light-flyweight),M,Gonzalez,Paul Garza Jr.,Men,United States,Gold
1/1/1984,Los Angeles,Boxing,Boxing,67 - 71kg (light-middleweight),M,O'sullivan,Shawn,Men,Canada,Silver
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,M,Ugbusien,Moses,Men,Nigeria,Bronze
1/1/1984,Los Angeles,Cycling,Cycling Track,Team Pursuit (4000m),M,Grenda,Michael,Men,Australia,Gold
1/1/1984,Los Angeles,Sailing,Sailing,470 - Two Person Dinghy,M,Molina carrasco,Roberto,Men,Spain,Gold
1/1/1984,Los Angeles,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),M,Kim,Weon-Kee,Men,"Korea, South",Gold
1/1/1984,Los Angeles,Football,Football,football,M,Thouvenel,Jean Christophe,Men,France,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m medley relay,M,Ponting,Thomas,Men,Canada,Silver
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-4 500m (kayak four),W,Nichitov-ionescu,Nastasia,Women,Romania,Gold
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),M,Bach,Michael,Men,United States,Silver
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m medley relay,W,Rai,Pamela,Women,Canada,Bronze
1/1/1984,Los Angeles,Aquatics,Water polo,water polo,M,Schroeder,Terence Alan,Men,United States,Silver
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,M,Tong,Fei,Men,China,Silver
1/1/1984,Los Angeles,Athletics,Athletics,400m,M,Mckay,Antonio Ricardo,Men,United States,Bronze
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Lanfranco,Giovanni,Men,Italy,Bronze
1/1/1984,Los Angeles,Fencing,Fencing,sabre team,M,Mustata,Marin,Men,Romania,Bronze
1/1/1984,Los Angeles,Cycling,Cycling Track,Points Race,M,Ilegems,Roger,Men,Belgium,Gold
1/1/1984,Los Angeles,Athletics,Athletics,20km walk,M,Gonzalez,Raul,Men,Mexico,Silver
1/1/1984,Los Angeles,Wrestling,Wrestling Free.,82 - 90kg (light-heavyweight),M,Loban,Noel,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Arnautovic,Zlatan,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,M,Li,Xiao-Ping,Men,China,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),M,Ellison,Adrian Charles,Men,United Kingdom,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m freestyle relay,M,Delany,Michael,Men,Australia,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Rebaudengo,Piero,Men,Italy,Bronze
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Beglin,Elizabeth Anne,Women,United States,Bronze
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Leman,Richard Alexander,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,W,Crooks,Charmaine,Women,Canada,Silver
1/1/1984,Los Angeles,Athletics,Athletics,800m,M,Jones,Earl,Men,United States,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Boros,Iosif,Men,Romania,Bronze
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,Ferguson,Ian Gordon,Men,New Zealand,Gold
1/1/1984,Los Angeles,Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight),M,Andrei,Vasile,Men,Romania,Gold
1/1/1984,Los Angeles,Boxing,Boxing,60 - 63.5kg (light-welterweight),M,Umponmaha,Dhawee,Men,Thailand,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Drull,Elke,Women,West Germany,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Place,Marcella Jeanette,Women,United States,Bronze
1/1/1984,Los Angeles,Equestrian,Dressage,team,,De bary,Amy Catherine,Women,Switzerland,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Hiro,Norie,Women,Japan,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,5000m,M,Aouita,Said,Men,Morocco,Gold
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),W,Mihaly,Aneta,Women,Romania,Silver
1/1/1984,Los Angeles,Fencing,Fencing,foil team,W,Trinquet-hachin,Pascale,Women,France,Bronze
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,W,Stanulet,Mihaela,Women,Romania,Gold
1/1/1984,Los Angeles,Aquatics,Diving,10m platform,W,Wyland-williams,Wendy Lian,Women,United States,Bronze
1/1/1984,Los Angeles,Fencing,Fencing,foil individual,W,Luan,Ju-Jie,Women,China,Gold
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Fried,Volker,Men,West Germany,Silver
1/1/1984,Los Angeles,Handball,Handball,handball,M,Jurina,Pavle,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Football,Football,football,M,Baljic,Mirsad,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,long jump,M,Evangelisti,Giovanni,Men,Italy,Bronze
1/1/1984,Los Angeles,Football,Football,football,M,Zanon,Jean Louis,Men,France,Gold
1/1/1984,Los Angeles,Athletics,Athletics,3000m steeplechase,M,Mahmoud,Joseph,Men,France,Silver
1/1/1984,Los Angeles,Football,Football,football,M,Pudar,Ivan,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"75 - 82.5kg, total (light-heavyweight)",M,Isaoka,Ryoji,Men,Japan,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),W,Graves,Carolyn Brand,Women,United States,Gold
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"90 - 100kg, total (first-heavyweight)",M,Groapa,Vasile,Men,Romania,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),W,Lavric,Florica,Women,Romania,Gold
1/1/1984,Los Angeles,Judo,Judo,open category,M,Yamashita,Yasuhiro,Men,Japan,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,400m freestyle,M,Lemberg,Justin,Men,Australia,Bronze
1/1/1984,Los Angeles,Football,Football,football,M,Katanec,Srecko,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Gunst,Thomas,Men,West Germany,Silver
1/1/1984,Los Angeles,Cycling,Cycling Track,Points Race,M,Youshimatz,Jose Manuel,Men,Mexico,Bronze
1/1/1984,Los Angeles,Basketball,Basketball,basketball,M,Petrovic,Drazen,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Cycling,Cycling Track,Sprint indivual,M,Sakamoto,Tsutomu,Men,Japan,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Thiel,Andreas,Men,West Germany,Silver
1/1/1984,Los Angeles,Handball,Handball,handball,W,Kitic-dasic,Svetlana,Women,Yugoslavia,Gold
1/1/1984,Los Angeles,Handball,Handball,handball,W,Djurica,Mirjana,Women,Yugoslavia,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,vault,M,Morisue,Shinji,Men,Japan,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Hillen,Francisca,Women,Netherlands,Gold
1/1/1984,Los Angeles,Fencing,Fencing,foil team,W,Guzganu-tufan,Elisabeta,Women,Romania,Silver
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m freestyle relay,M,Johansson,Per,Men,Sweden,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m freestyle relay,W,Hogshead,Nancy Lynn,Women,United States,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,200m individual medley,W,Caulkins,Tracy Anne,Women,United States,Gold
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),M,Crawford,Dean,Men,Canada,Gold
1/1/1984,Los Angeles,Handball,Handball,handball,M,Elezovic,Jovica,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Keller,Andreas,Men,West Germany,Silver
1/1/1984,Los Angeles,Athletics,Athletics,heptathlon,W,Joyner-kersee,Jackie,Women,United States,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Bolhuis-eijsvogel,Maria Yolanda C.,Women,Netherlands,Gold
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"67.5 - 75kg, total (middleweight)",M,Cioroslan,Dragomir,Men,Romania,Bronze
1/1/1984,Los Angeles,Basketball,Basketball,basketball,W,Lee,Hyung-Sook,Women,"Korea, South",Silver
1/1/1984,Los Angeles,Archery,Archery,individual FITA round,M,Mckinney,Richard Lee,Men,United States,Silver
1/1/1984,Los Angeles,Aquatics,Water polo,water polo,M,Bebic,Milivoj,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,pommel horse,M,Daggett,Timothy Patrick,Men,United States,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,discus throw,M,Wilkins,Malcolm Maurice,Men,United States,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),M,Springer,Gregory T.,Men,United States,Silver
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,M,Akabusi,Kriss Kezie Uche,Men,United Kingdom,Silver
1/1/1984,Los Angeles,Judo,Judo,86 - 95kg (half-heavyweight),M,Vieira,Douglas,Men,Brazil,Silver
1/1/1984,Los Angeles,Equestrian,Dressage,team,,Nathorst,Louise,Women,Sweden,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,W,Kim,Kyung-Soon,Women,"Korea, South",Silver
1/1/1984,Los Angeles,Fencing,Fencing,sabre team,M,Granger-veyron,Herve,Men,France,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),M,Cross,Martin,Men,United Kingdom,Gold
1/1/1984,Los Angeles,Athletics,Athletics,4x100m relay,W,Hunte-oakes,Heather,Women,United Kingdom,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,W,Wang,Lin-Wei,Women,China,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,800m freestyle,W,Cohen,Tiffany Lisa,Women,United States,Gold
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double),M,Ljubek,Matija,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,M,Gaylord,Mitchell Jay,Men,United States,Gold
1/1/1984,Los Angeles,Aquatics,Water polo,water polo,M,Loebb,Thomas,Men,West Germany,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,200m butterfly,W,Beyermann,Ina,Women,West Germany,Bronze
1/1/1984,Los Angeles,Football,Football,football,M,Rinaldi,Gilmar,Men,Brazil,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Brinkmann,Dirk,Men,West Germany,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four-oared shell with coxswain (4-),M,Mabbott,Barrie,Men,New Zealand,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,200m butterfly,M,Gross,Michael,Men,West Germany,Silver
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single),M,Barton,Gregory Mark,Men,United States,Bronze
1/1/1984,Los Angeles,Fencing,Fencing,foil team,W,Meygret,Anne,Women,France,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,coxless pair (2-),M,Loken,Sverre Bertrand,Men,Norway,Bronze
1/1/1984,Los Angeles,Equestrian,Jumping,team,,Smith,Steven,Men,United Kingdom,Silver
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,W,Johnson,Kathleen Ann,Women,United States,Silver
1/1/1984,Los Angeles,Aquatics,Swimming,200m backstroke,M,Henning,Cameron,Men,Canada,Bronze
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,M,Daggett,Timothy Patrick,Men,United States,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,4x200m freestyle relay,M,Hayes,Lawrence Bruce,Men,United States,Gold
1/1/1984,Los Angeles,Wrestling,Wrestling Free.,68 - 74kg (welterweight),M,Knosp,Martin,Men,West Germany,Silver
1/1/1984,Los Angeles,Equestrian,Dressage,individual,,Tornblad-jensen,Anne,Women,Denmark,Silver
1/1/1984,Los Angeles,Modern Pentathlon,Modern Pentath.,Team competition,M,Massullo,Carlo,Men,Italy,Gold
1/1/1984,Los Angeles,Rowing,Rowing,coxless pair (2-),M,Toma,Valer,Men,Romania,Gold
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,M,Armstead,Raymond,Men,United States,Gold
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,W,Payne-wiggins,Marita,Women,Canada,Silver
1/1/1984,Los Angeles,Aquatics,Swimming,800m freestyle,W,Hardcastle,Sarah,Women,United Kingdom,Bronze
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"60 - 67.5kg, total (lightweight)",M,Gronman,Jouni Johannes,Men,Finland,Bronze
1/1/1984,Los Angeles,Fencing,Fencing,foil team,M,Hein,Harald,Men,West Germany,Silver
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M,Kotaka,Masahiro,Men,Japan,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,W,Ognjenovic,Mirjana,Women,Yugoslavia,Gold
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double),M,Suarez amador,Narciso,Men,Spain,Bronze
1/1/1984,Los Angeles,Basketball,Basketball,basketball,M,Romay pereiro,Fernando,Men,Spain,Silver
1/1/1984,Los Angeles,Boxing,Boxing,54 - 57kg (featherweight),M,Taylor,Meldrick,Men,United States,Gold
1/1/1984,Los Angeles,Athletics,Athletics,long jump,W,Hearnshaw,Susan,Women,United Kingdom,Bronze
1/1/1984,Los Angeles,Equestrian,Eventing,team,,Davidson,Bruce Oram,Men,United States,Gold
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"+ 110kg, total (super heavyweight)",M,Lukin,Dinko,Men,Australia,Gold
1/1/1984,Los Angeles,Shooting,Shooting,50m rifle prone (60 shots),M,Etzel,Edward,Men,United States,Gold
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Dametto,Giancarlo,Men,Italy,Bronze
1/1/1984,Los Angeles,Gymnastics,Artistic G.,vault,M,Gushiken,Koji,Men,Japan,Silver
1/1/1984,Los Angeles,Rowing,Rowing,coxless pair (2-),M,Climent huerta,Fernando,Men,Spain,Silver
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),M,Penny,Christopher Gore,Men,United States,Silver
1/1/1984,Los Angeles,Boxing,Boxing,54 - 57kg (featherweight),M,Catari peraza,Omar,Men,Venezuela,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Buligan,Alexandru,Men,Romania,Bronze
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,M,Hirata,Noritoshi,Men,Japan,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Gullock,Gary,Men,Australia,Silver
1/1/1984,Los Angeles,Rowing,Rowing,quadruple sculls with coxswain (4x),W,Koefoed,Inger Charlotte,Women,Denmark,Bronze
1/1/1984,Los Angeles,Basketball,Basketball,basketball,W,Mulkey,Kimberly Duane,Women,United States,Gold
1/1/1984,Los Angeles,Sailing,Sailing,board (windglider),M,Steele,Randal Scott,Men,United States,Silver
1/1/1984,Los Angeles,Athletics,Athletics,hammer throw,M,Riehm,Karl-Hans,Men,West Germany,Silver
1/1/1984,Los Angeles,Athletics,Athletics,4x400m relay,W,Howard,Sherryl Frances,Women,United States,Gold
1/1/1984,Los Angeles,Athletics,Athletics,3000m,W,Sly,Wendy,Women,United Kingdom,Silver
1/1/1984,Los Angeles,Wrestling,Wrestling Gre-R,62 - 68kg (lightweight),M,Martinez,James Michael,Men,United States,Bronze
1/1/1984,Los Angeles,Archery,Archery,individual FITA round,M,Pace,Darrell Owen,Men,United States,Gold
1/1/1984,Los Angeles,Athletics,Athletics,400m hurdles,M,Schmid,Harald,Men,West Germany,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,100m butterfly,W,Johnson,Jenna Leigh,Women,United States,Silver
1/1/1984,Los Angeles,Football,Football,football,M,Rust,Albert,Men,France,Gold
1/1/1984,Los Angeles,Basketball,Basketball,basketball,M,Wood,Leonard III,Men,United States,Gold
1/1/1984,Los Angeles,Handball,Handball,handball,W,Mugosa,Ljiljana,Women,Yugoslavia,Gold
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"100 - 110kg, total (heavyweight)",M,Tasnadi,Stefan,Men,Romania,Silver
1/1/1984,Los Angeles,Aquatics,Water polo,water polo,M,Dorst,Christopher Taylor,Men,United States,Silver
1/1/1984,Los Angeles,Athletics,Athletics,triple jump,M,Connor,Keith,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-4 500m (kayak four),W,Stefan,Maria,Women,Romania,Gold
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Waldie,Mark,Men,United States,Gold
1/1/1984,Los Angeles,Football,Football,football,M,Ivkovic,Tomislav,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Sugiyama,Kayoko,Women,Japan,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,400m,W,Smallwood-cook,Kathryn,Women,United Kingdom,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Zovko,Zdravko,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Modern Pentathlon,Modern Pentath.,Team competition,M,Losey,Robert Gregory,Men,United States,Silver
1/1/1984,Los Angeles,Boxing,Boxing,51 - 54kg (bantamweight),M,Nolasco,Pedres,Men,Dominican Republic,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,4x100m freestyle relay,W,Steinseifer,Carolyn,Women,United States,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,individual all-round,M,Li,Ning,Men,China,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Bedevan,Mircea,Men,Romania,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,M,Kuzmanovski,Slobodan,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Athletics,Athletics,triple jump,M,Joyner,Alfredrick Alphonzo,Men,United States,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,200m freestyle,M,Heath,Michael Steward,Men,United States,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Ott,Patricia,Women,West Germany,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Ruddins,Kimberly Grace,Women,United States,Silver
1/1/1984,Los Angeles,Athletics,Athletics,pole vault,M,Tully,Michael Scott,Men,United States,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Vullo,Fabio,Men,Italy,Bronze
1/1/1984,Los Angeles,Football,Football,football,M,Djurovski,Milko,Men,Yugoslavia,Bronze
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Anders,Elizabeth Rambo,Women,United States,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,4x100m relay,M,Lewis,Carl,Men,United States,Gold
1/1/1984,Los Angeles,Gymnastics,Artistic G.,balance beam,W,Johnson,Kathleen Ann,Women,United States,Bronze
1/1/1984,Los Angeles,Wrestling,Wrestling Free.,48 - 52kg (flyweight),M,Trstena,Saban,Men,Yugoslavia,Gold
1/1/1984,Los Angeles,Archery,Archery,individual FITA round,W,Seo,Hyang-Soon,Women,"Korea, South",Gold
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),M,Jaugstetter,Robert C.,Men,United States,Silver
1/1/1984,Los Angeles,Fencing,Fencing,sabre team,M,Guichot,Pierre,Men,France,Silver
1/1/1984,Los Angeles,Football,Football,football,M,Bijotat,Dominique,Men,France,Gold
1/1/1984,Los Angeles,Handball,Handball,handball,M,Stinga,Vasile,Men,Romania,Bronze
1/1/1984,Los Angeles,Modern Pentathlon,Modern Pentath.,Individual competition,M,Massullo,Carlo,Men,Italy,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,W,Cuderman,Alenka,Women,Yugoslavia,Gold
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),M,Moberg,Lars-Erik,Men,Sweden,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Khan,Shahid Ali,Men,Pakistan,Gold
1/1/1984,Los Angeles,Equestrian,Dressage,individual,,Hofer,Otto Josef,Men,Switzerland,Bronze
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Schmid,Susanne Leonie,Women,West Germany,Silver
1/1/1984,Los Angeles,Gymnastics,Artistic G.,vault,W,Szabo,Ecaterina,Women,Romania,Gold
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Rajzman,Bernard,Men,Brazil,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Hughes,Norman,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Football,Football,football,M,Leiehart neto,Joao,Men,Brazil,Silver
1/1/1984,Los Angeles,Gymnastics,Artistic G.,floor exercises,M,Lou,Yun,Men,China,Silver
1/1/1984,Los Angeles,Weightlifting,Weightlifting,"82.5 - 90kg, total (middle-heavyweight)",M,Petre,Dumitru,Men,Romania,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Powers,Patrick Robert,Men,United States,Gold
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Abdul,Rashid IV,Men,Pakistan,Gold
1/1/1984,Los Angeles,Hockey,Hockey,hockey,W,Mccahey,Kathleen Ann,Women,United States,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),W,Plesca,Aurora,Women,Romania,Silver
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double),M,Ljubek,Matija,Men,Yugoslavia,Silver
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),M,Main,Gerald Grant,Men,Canada,Gold
1/1/1984,Los Angeles,Basketball,Basketball,basketball,W,Kim,Young-Hee,Women,"Korea, South",Silver
1/1/1984,Los Angeles,Cycling,Cycling Road,team time trial,M,Bartalini,Marcello,Men,Italy,Gold
1/1/1984,Los Angeles,Athletics,Athletics,javelin throw,W,Whitbread,Fatima,Women,United Kingdom,Bronze
1/1/1984,Los Angeles,Aquatics,Water polo,water polo,M,Hoppe,Rainer,Men,West Germany,Bronze
1/1/1984,Los Angeles,Equestrian,Jumping,team,,Burr-howard,Leslie Michele,Women,United States,Gold
1/1/1984,Los Angeles,Judo,Judo,+ 95kg (heavyweight),M,Berger,Marc,Men,Canada,Bronze
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double),M,Renaud,Eric,Men,France,Bronze
1/1/1984,Los Angeles,Aquatics,Swimming,800m freestyle,W,Richardson,Michele,Women,United States,Silver
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),M,Steele,Paul,Men,Canada,Gold
1/1/1984,Los Angeles,Boxing,Boxing,63.5 - 67kg (welterweight),M,Bruno,Luciano,Men,Italy,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,triple jump,M,Conley,Mike,Men,United States,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Lang,Ping,Women,China,Gold
1/1/1984,Los Angeles,Judo,Judo,- 60 kg,M,Eckersley,Neil,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Judo,Judo,65 - 71kg (lightweight),M,Yoshio onmura,Luiz Yoshio,Men,Brazil,Bronze
1/1/1984,Los Angeles,Wrestling,Wrestling Free.,52 - 57kg (bantamweight),M,Kim,Eui-Kon,Men,"Korea, South",Bronze
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,Olsson,Anna,Women,Sweden,Gold
1/1/1984,Los Angeles,Cycling,Cycling Road,team time trial,M,Kiefel,Ronald Alexander,Men,United States,Bronze
1/1/1984,Los Angeles,Basketball,Basketball,basketball,W,Park,Yang-Gae,Women,"Korea, South",Silver
1/1/1984,Los Angeles,Cycling,Cycling Track,Individual Pursuit,M,Golz,Rolf,Men,West Germany,Silver
1/1/1984,Los Angeles,Gymnastics,Artistic G.,individual all-round,W,Szabo,Ecaterina,Women,Romania,Silver
1/1/1984,Los Angeles,Judo,Judo,78 - 86kg (middleweight),M,Nose,Seiki,Men,Japan,Bronze
1/1/1984,Los Angeles,Judo,Judo,71 - 78kg (half-middleweight),M,Nowak,Michel,Men,France,Bronze
1/1/1984,Los Angeles,Shooting,Shooting,25m pistol (30+30 shots),W,Thom,Linda,Women,Canada,Gold
1/1/1984,Los Angeles,Aquatics,Swimming,100m breaststroke,W,Poirot,Catherine,Women,France,Bronze
1/1/1984,Los Angeles,Gymnastics,Artistic G.,team competition,W,Retton,Mary-Lou,Women,United States,Silver
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,M,Vecchi,Paolo,Men,Italy,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,pair without coxswain (2-),W,Volkner,Iris,Women,West Germany,Bronze
1/1/1984,Los Angeles,Athletics,Athletics,100m hurdles,W,Strong,Shirley,Women,United Kingdom,Silver
1/1/1984,Los Angeles,Rowing,Rowing,four without coxswain (4-),M,Rasmussen,Per,Men,Denmark,Bronze
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Hirose,Miyoko,Women,Japan,Bronze
1/1/1984,Los Angeles,Handball,Handball,handball,W,He,Jian-Ping,Women,China,Bronze
1/1/1984,Los Angeles,Sailing,Sailing,470 - Two Person Dinghy,M,Benjamin,Stephen Delancey,Men,United States,Silver
1/1/1984,Los Angeles,Hockey,Hockey,hockey,M,Potter,Jonathan Nicholas M.,Men,United Kingdom,Bronze
1/1/1984,Los Angeles,Cycling,Cycling Road,individual road race,M,Lauritzen,Dag Otto,Men,Norway,Bronze
1/1/1984,Los Angeles,Volleyball,Volleyball,volleyball,W,Woodstra,Susan Jean,Women,United States,Silver
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,Karls,Tommy,Men,Sweden,Silver
1/1/1984,Los Angeles,Modern Pentathlon,Modern Pentath.,Individual competition,M,Masala,Daniele,Men,Italy,Gold
1/1/1984,Los Angeles,Aquatics,Synchronized S.,solo,W,Motoyoshi,Miwako,Women,Japan,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,pair-oared shell with coxswain (2+),M,Espeseth,Robert Douglas,Men,United States,Bronze
1/1/1984,Los Angeles,Rowing,Rowing,eight with coxswain (8+),W,Van ettekoven,Harriet,Women,Netherlands,Bronze
1/1/1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single),M,Janic,Milan,Men,Yugoslavia,Silver
1/1/1984,Los Angeles,Equestrian,Jumping,individual,,Homfeld,Conrad E.,Men,United States,Silver
